date,address,lat,lon,itch_index,itch_band,count,species
2025-10-06,"5250 Cape Henry Ave, Norfolk, VA",36.875,-76.223,9.899397035936625,Extreme (9–10),39.0,Aedes albopictus
2025-10-07,"9536 7th Bay St, Norfolk, VA",36.931,-76.21,9.897868763636287,Extreme (9–10),27.0,Aedes albopictus
2025-10-08,"711 Orapax Ave, Norfolk, VA",36.866,-76.309,9.884431901878203,Extreme (9–10),19.0,Aedes albopictus
2025-10-07,"1130 Leake St, Norfolk, VA",36.83,-76.267,9.782103011626884,Extreme (9–10),15.0,Aedes albopictus
2025-10-09,"2700 Victoria Ave, Norfolk, VA",36.845,-76.257,9.630403884651594,Extreme (9–10),9.0,Aedes albopictus
2025-10-06,"8434 Carlton St, Norfolk, VA",36.929,-76.24,9.02079829639024,Extreme (9–10),4.0,Aedes albopictus
2025-10-09,"5405 Barnhollow Rd, Norfolk, VA",36.85,-76.22,9.014566339205253,Extreme (9–10),3.0,Aedes albopictus
2025-10-09,"6329 E Virginia Beach Blvd, Norfolk, VA",36.854,-76.187,8.917530916349406,Very High (7–8),55.0,Culex pipiens/restuans
2025-10-08,"1600 38th St, Norfolk, VA",36.88,-76.313,8.902588754398991,Very High (7–8),19.0,Culex pipiens/restuans
2025-10-07,"165 Sir Oliver Rd, Norfolk, VA",36.901,-76.275,8.8909674954048,Very High (7–8),3.0,Aedes vexans
2025-10-01,"1024 47th St, Norfolk, VA",36.887,-76.299,8.849255324127427,Very High (7–8),16.0,Aedes vexans
2025-10-09,"429 Frizzell Ave, Norfolk, VA",36.848,-76.203,8.769435901416701,Very High (7–8),7.0,Aedes albopictus
2025-10-07,"927 E Balview Ave, Norfolk, VA",36.946,-76.243,8.716734180177838,Very High (7–8),9.0,Aedes albopictus
2025-10-07,"7300 Parkdale Dr, Norfolk, VA",36.909,-76.267,8.703070790348017,Very High (7–8),2.0,Aedes vexans
2025-09-30,"3459 Fletcher Dr, Norfolk, VA",36.891,-76.217,8.688327926090183,Very High (7–8),10.0,Aedes albopictus
2025-10-09,"8016 Woodall Rd, Norfolk, VA",36.921,-76.197,8.602590491341207,Very High (7–8),5.0,Aedes albopictus
2025-10-09,"3541 Seay Ave, Norfolk, VA",36.848,-76.239,8.547723745341681,Very High (7–8),1.0,Aedes vexans
2025-10-02,"135 Bristol Av, Norfolk, VA",36.842,-76.194,8.533487086443515,Very High (7–8),5.0,Aedes vexans
2025-10-07,"7615 Galveston Blvd, Norfolk, VA",36.915,-76.263,8.485342084929322,Very High (7–8),7.0,Culex pipiens/restuans
2025-10-01,"4415 Gosnold Ave, Norfolk, VA",36.884,-76.291,8.358937916976586,Very High (7–8),126.0,Culex pipiens/restuans
2025-10-07,"522 Berkeley Ave Ext, Norfolk, VA",36.83,-76.278,8.150459046719181,Very High (7–8),1.0,Aedes vexans
2025-10-08,"1501 Armistead Bridge Rd, Norfolk, VA",36.873,-76.307,8.140555437921819,Very High (7–8),3.0,Culex pipiens/restuans
2025-10-06,"2416 Pershing Ave, Norfolk, VA",36.878,-76.258,8.077524358641973,Very High (7–8),5.0,Aedes albopictus
2025-10-07,"9507 Inlet Rd, Norfolk, VA",36.934,-76.221,8.044611409483391,Very High (7–8),2.0,Anopheles crucians
2025-10-07,"1822 Parkview Ave, Norfolk, VA",36.937,-76.226,7.9902042121648496,Very High (7–8),4.0,Aedes albopictus
2025-09-30,"6231 Bridle Way, Norfolk, VA",36.9,-76.217,7.906781821313269,Very High (7–8),3.0,Aedes vexans
2025-10-06,"4543 Village Ave, Norfolk, VA",36.862,-76.232,7.704331203227392,Very High (7–8),16.0,Culex pipiens/restuans
